region,date,confirm
Yenbai,2021-05-28,0
Angiang,2021-05-29,0
Bacgiang,2021-05-29,293
Backan,2021-05-29,0
Baclieu,2021-05-29,1
Bacninh,2021-05-29,73
Bariavungtau,2021-05-29,6
Bentre,2021-05-29,0
Binhduong,2021-05-29,0
Binhphuoc,2021-05-29,0
Binhthuan,2021-05-29,0
Camau,2021-05-29,0
Cantho,2021-05-29,0
Caobang,2021-05-29,0
Daklak,2021-05-29,0
Daknong,2021-05-29,0
Danang,2021-05-29,0
Dienbien,2021-05-29,1
Dongnai,2021-05-29,1
Dongthap,2021-05-29,0
Gialai,2021-05-29,1
Hagiang,2021-05-29,0
Haiduong,2021-05-29,2
Haiphong,2021-05-29,0
Hanam,2021-05-29,3
Hanoi,2021-05-29,12
Hatinh,2021-05-29,0
Haugiang,2021-05-29,0
Hoabinh,2021-05-29,0
Hochiminh,2021-05-29,54
Hungyen,2021-05-29,0
Khanhhoa,2021-05-29,0
Kiengiang,2021-05-29,0
Kontum,2021-05-29,0
Laichau,2021-05-29,0
Lamdong,2021-05-29,0
Langson,2021-05-29,8
Laocai,2021-05-29,0
Longan,2021-05-29,1
Namdinh,2021-05-29,0
Nghean,2021-05-29,0
Ninhbinh,2021-05-29,0
Ninhthuan,2021-05-29,0
Phutho,2021-05-29,0
Phuyen,2021-05-29,0
Quangbinh,2021-05-29,0
Quangnam,2021-05-29,2
Quangngai,2021-05-29,0
Quangninh,2021-05-29,0
Quangtri,2021-05-29,0
Soctrang,2021-05-29,0
Sonla,2021-05-29,0
Tayninh,2021-05-29,1
Thaibinh,2021-05-29,0
Thainguyen,2021-05-29,0
Thanhhoa,2021-05-29,0
Thuathienhue,2021-05-29,0
Tiengiang,2021-05-29,0
Travinh,2021-05-29,0
Tuyenquang,2021-05-29,0
Vinhlong,2021-05-29,0
Vinhphuc,2021-05-29,1
Yenbai,2021-05-29,0
Angiang,2021-05-30,0
Bacgiang,2021-05-30,123
Backan,2021-05-30,0
Baclieu,2021-05-30,0
Bacninh,2021-05-30,44
Bariavungtau,2021-05-30,0
Bentre,2021-05-30,0
Binhduong,2021-05-30,0
Binhphuoc,2021-05-30,0
Binhthuan,2021-05-30,0
Camau,2021-05-30,0
Cantho,2021-05-30,0
Caobang,2021-05-30,0
Daklak,2021-05-30,0
Daknong,2021-05-30,0
Danang,2021-05-30,1
Dienbien,2021-05-30,0
Dongnai,2021-05-30,1
Dongthap,2021-05-30,0
Gialai,2021-05-30,0
Hagiang,2021-05-30,0
Haiduong,2021-05-30,1
Haiphong,2021-05-30,1
Hanam,2021-05-30,0
Hanoi,2021-05-30,20
Hatinh,2021-05-30,0
Haugiang,2021-05-30,0
Hoabinh,2021-05-30,0
Hochiminh,2021-05-30,59
Hungyen,2021-05-30,0
Khanhhoa,2021-05-30,0
Kiengiang,2021-05-30,0
Kontum,2021-05-30,0
Laichau,2021-05-30,0
Lamdong,2021-05-30,0
Langson,2021-05-30,0
Laocai,2021-05-30,0
Longan,2021-05-30,1
Namdinh,2021-05-30,0
Nghean,2021-05-30,0
Ninhbinh,2021-05-30,0
Ninhthuan,2021-05-30,0
Phutho,2021-05-30,0
Phuyen,2021-05-30,0
Quangbinh,2021-05-30,0
Quangnam,2021-05-30,0
Quangngai,2021-05-30,0
Quangninh,2021-05-30,0
Quangtri,2021-05-30,0
Soctrang,2021-05-30,0
Sonla,2021-05-30,0
Tayninh,2021-05-30,0
Thaibinh,2021-05-30,0
Thainguyen,2021-05-30,0
Thanhhoa,2021-05-30,0
Thuathienhue,2021-05-30,0
Tiengiang,2021-05-30,0
Travinh,2021-05-30,0
Tuyenquang,2021-05-30,0
Vinhlong,2021-05-30,0
Vinhphuc,2021-05-30,0
Yenbai,2021-05-30,0
Angiang,2021-05-31,0
Bacgiang,2021-05-31,140
Backan,2021-05-31,0
Baclieu,2021-05-31,0
Bacninh,2021-05-31,32
Bariavungtau,2021-05-31,0
Bentre,2021-05-31,0
Binhduong,2021-05-31,3
Binhphuoc,2021-05-31,0
Binhthuan,2021-05-31,0
Camau,2021-05-31,0
Cantho,2021-05-31,0
Caobang,2021-05-31,0
Daklak,2021-05-31,1
Daknong,2021-05-31,0
Danang,2021-05-31,1
Dienbien,2021-05-31,0
Dongnai,2021-05-31,0
Dongthap,2021-05-31,0
Gialai,2021-05-31,0
Hagiang,2021-05-31,0
Haiduong,2021-05-31,0
Haiphong,2021-05-31,0
Hanam,2021-05-31,0
Hanoi,2021-05-31,28
Hatinh,2021-05-31,0
Haugiang,2021-05-31,0
Hoabinh,2021-05-31,0
Hochiminh,2021-05-31,0
Hungyen,2021-05-31,0
Khanhhoa,2021-05-31,0
Kiengiang,2021-05-31,0
Kontum,2021-05-31,0
Laichau,2021-05-31,0
Lamdong,2021-05-31,0
Langson,2021-05-31,3
Laocai,2021-05-31,0
Longan,2021-05-31,2
Namdinh,2021-05-31,0
Nghean,2021-05-31,0
Ninhbinh,2021-05-31,0
Ninhthuan,2021-05-31,0
Phutho,2021-05-31,0
Phuyen,2021-05-31,0
Quangbinh,2021-05-31,0
Quangnam,2021-05-31,2
Quangngai,2021-05-31,0
Quangninh,2021-05-31,0
Quangtri,2021-05-31,0
Soctrang,2021-05-31,0
Sonla,2021-05-31,0
Tayninh,2021-05-31,1
Thaibinh,2021-05-31,0
Thainguyen,2021-05-31,0
Thanhhoa,2021-05-31,0
Thuathienhue,2021-05-31,0
Tiengiang,2021-05-31,0
Travinh,2021-05-31,1
Tuyenquang,2021-05-31,0
Vinhlong,2021-05-31,0
Vinhphuc,2021-05-31,0
Yenbai,2021-05-31,0
Angiang,2021-06-01,1
Bacgiang,2021-06-01,125
Backan,2021-06-01,0
Baclieu,2021-06-01,0
Bacninh,2021-06-01,35
Bariavungtau,2021-06-01,0
Bentre,2021-06-01,0
Binhduong,2021-06-01,0
Binhphuoc,2021-06-01,0
Binhthuan,2021-06-01,0
Camau,2021-06-01,0
Cantho,2021-06-01,0
Caobang,2021-06-01,0
Daklak,2021-06-01,0
Daknong,2021-06-01,0
Danang,2021-06-01,0
Dienbien,2021-06-01,0
Dongnai,2021-06-01,0
Dongthap,2021-06-01,1
Gialai,2021-06-01,0
Hagiang,2021-06-01,0
Haiduong,2021-06-01,0
Haiphong,2021-06-01,0
Hanam,2021-06-01,1
Hanoi,2021-06-01,2
Hatinh,2021-06-01,0
Haugiang,2021-06-01,0
